регион,уровень,год,количество_квартир
Российская Федерация,страна,2000,373363
Центральный федеральный округ,федеральный_округ,2000,128478
Белгородская область,регион,2000,8700
Брянская область,регион,2000,2876
Владимирская область,регион,2000,3796
Воронежская область,регион,2000,7208
Ивановская область,регион,2000,1297
Калужская область,регион,2000,2886
Костромская область,регион,2000,2466
Курская область,регион,2000,2199
Липецкая область,регион,2000,4136
Московская область,регион,2000,24889
Орловская область,регион,2000,2868
Рязанская область,регион,2000,3230
Смоленская область,регион,2000,2170
Тамбовская область,регион,2000,2846
Тверская область,регион,2000,2789
Тульская область,регион,2000,3034
Ярославская область,регион,2000,1855
Город Москва,регион,2000,49233
Северо-Западный федеральный округ,федеральный_округ,2000,33878
Республика Карелия,регион,2000,834
Республика Коми,регион,2000,3879
Архангельская область,регион,2000,1042
Ненецкий автономный округ,регион,2000,181
Вологодская область,регион,2000,2547
Калининградская область,регион,2000,2008
Ленинградская область,регион,2000,5410
Мурманская область,регион,2000,467
Новгородская область,регион,2000,1310
Псковская область,регион,2000,1190
Город Санкт-Петербург,регион,2000,15191
Южный федеральный округ,федеральный_округ,2000,33474
Республика Адыгея (Адыгея),регион,2000,650
Республика Калмыкия,регион,2000,441
Краснодарский край,регион,2000,13038
Астраханская область,регион,2000,3364
Волгоградская область,регион,2000,4740
Ростовская область,регион,2000,11241
Северо-Кавказский федеральный округ,федеральный_округ,2000,13871
Республика Дагестан,регион,2000,3904
Республика Ингушетия,регион,2000,141
Кабардино-Балкарская Республика,регион,2000,1562
Карачаево-Черкесская Республика,регион,2000,391
Республика Северная Осетия-Алания,регион,2000,1402
Чеченская Республика,регион,2000,0
Ставропольский край,регион,2000,6471
Приволжский федеральный округ,федеральный_округ,2000,84580
Республика Башкортостан,регион,2000,15349
Республика Марий Эл,регион,2000,1636
Республика Мордовия,регион,2000,2128
Республика Татарстан (Татарстан),регион,2000,19411
Удмуртская Республика,регион,2000,3328
Чувашская Республика - Чувашия,регион,2000,5308
Пермский край,регион,2000,4546
Кировская область,регион,2000,3140
Нижегородская область,регион,2000,7412
Оренбургская область,регион,2000,3722
Пензенская область,регион,2000,2903
Самарская область,регион,2000,8099
Саратовская область,регион,2000,5007
Ульяновская область,регион,2000,2591
Уральский федеральный округ,федеральный_округ,2000,30714
Курганская область,регион,2000,935
Свердловская область,регион,2000,7824
Тюменская область,регион,2000,13085
Ханты-Мансийский автономный округ - Югра,регион,2000,5486
Ямало-Ненецкий автономный округ,регион,2000,1449
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),регион,2000,6150
Челябинская область,регион,2000,8870
Сибирский федеральный округ,федеральный_округ,2000,33396
Республика Алтай,регион,2000,400
Республика Тыва,регион,2000,595
Республика Хакасия,регион,2000,1511
Алтайский край,регион,2000,4763
Красноярский край,регион,2000,6292
Иркутская область,регион,2000,2703
Кемеровская область,регион,2000,4431
Новосибирская область,регион,2000,6940
Омская область,регион,2000,3152
Томская область,регион,2000,2609
Дальневосточный федеральный округ,федеральный_округ,2000,14234
Республика Бурятия,регион,2000,2086
Республика Саха (Якутия),регион,2000,3409
Забайкальский край,регион,2000,902
Камчатский край,регион,2000,107
Приморский край,регион,2000,2596
Хабаровский край,регион,2000,2317
Амурская область,регион,2000,1676
Магаданская область,регион,2000,99
Сахалинская область,регион,2000,890
Еврейская автономная область,регион,2000,144
Чукотский автономный округ,регион,2000,8
Российская Федерация,страна,2001,381552
Центральный федеральный округ,федеральный_округ,2001,130268
Белгородская область,регион,2001,6624
Брянская область,регион,2001,2737
Владимирская область,регион,2001,3313
Воронежская область,регион,2001,7083
Ивановская область,регион,2001,1140
Калужская область,регион,2001,2507
Костромская область,регион,2001,2618
Курская область,регион,2001,2266
Липецкая область,регион,2001,4378
Московская область,регион,2001,29163
Орловская область,регион,2001,2722
Рязанская область,регион,2001,1907
Смоленская область,регион,2001,2049
Тамбовская область,регион,2001,2341
Тверская область,регион,2001,3402
Тульская область,регион,2001,1451
Ярославская область,регион,2001,2364
Город Москва,регион,2001,52204
Северо-Западный федеральный округ,федеральный_округ,2001,32367
Республика Карелия,регион,2001,1022
Республика Коми,регион,2001,1551
Архангельская область,регион,2001,1322
Ненецкий автономный округ,регион,2001,181
Вологодская область,регион,2001,3349
Калининградская область,регион,2001,1992
Ленинградская область,регион,2001,5198
Мурманская область,регион,2001,107
Новгородская область,регион,2001,1336
Псковская область,регион,2001,1312
Город Санкт-Петербург,регион,2001,15179
Южный федеральный округ,федеральный_округ,2001,33138
Республика Адыгея (Адыгея),регион,2001,843
Республика Калмыкия,регион,2001,814
Краснодарский край,регион,2001,12893
Астраханская область,регион,2001,3567
Волгоградская область,регион,2001,4152
Ростовская область,регион,2001,10869
Северо-Кавказский федеральный округ,федеральный_округ,2001,14767
Республика Дагестан,регион,2001,5318
Республика Ингушетия,регион,2001,241
Кабардино-Балкарская Республика,регион,2001,1791
Карачаево-Черкесская Республика,регион,2001,600
Республика Северная Осетия-Алания,регион,2001,1479
Чеченская Республика,регион,2001,0
Ставропольский край,регион,2001,5338
Приволжский федеральный округ,федеральный_округ,2001,89631
Республика Башкортостан,регион,2001,17117
Республика Марий Эл,регион,2001,1871
Республика Мордовия,регион,2001,2066
Республика Татарстан (Татарстан),регион,2001,19046
Удмуртская Республика,регион,2001,3388
Чувашская Республика - Чувашия,регион,2001,5590
Пермский край,регион,2001,6785
Кировская область,регион,2001,3261
Нижегородская область,регион,2001,6122
Оренбургская область,регион,2001,4614
Пензенская область,регион,2001,2362
Самарская область,регион,2001,8556
Саратовская область,регион,2001,5893
Ульяновская область,регион,2001,2961
Уральский федеральный округ,федеральный_округ,2001,34847
Курганская область,регион,2001,1233
Свердловская область,регион,2001,7535
Тюменская область,регион,2001,18116
Ханты-Мансийский автономный округ - Югра,регион,2001,11049
Ямало-Ненецкий автономный округ,регион,2001,1617
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),регион,2001,5450
Челябинская область,регион,2001,7963
Сибирский федеральный округ,федеральный_округ,2001,29278
Республика Алтай,регион,2001,245
Республика Тыва,регион,2001,580
Республика Хакасия,регион,2001,671
Алтайский край,регион,2001,4722
Красноярский край,регион,2001,5032
Иркутская область,регион,2001,2190
Кемеровская область,регион,2001,5523
Новосибирская область,регион,2001,5292
Омская область,регион,2001,2112
Томская область,регион,2001,2911
Дальневосточный федеральный округ,федеральный_округ,2001,16343
Республика Бурятия,регион,2001,2396
Республика Саха (Якутия),регион,2001,5468
Забайкальский край,регион,2001,1119
Камчатский край,регион,2001,170
Приморский край,регион,2001,2933
Хабаровский край,регион,2001,2182
Амурская область,регион,2001,1275
Магаданская область,регион,2001,105
Сахалинская область,регион,2001,396
Еврейская автономная область,регион,2001,127
Чукотский автономный округ,регион,2001,172
Российская Федерация,страна,2002,396407
Центральный федеральный округ,федеральный_округ,2002,144065
Белгородская область,регион,2002,7860
Брянская область,регион,2002,2736
Владимирская область,регион,2002,3320
Воронежская область,регион,2002,7517
Ивановская область,регион,2002,1154
Калужская область,регион,2002,2543
Костромская область,регион,2002,1485
Курская область,регион,2002,2379
Липецкая область,регион,2002,3350
Московская область,регион,2002,32857
Орловская область,регион,2002,2626
Рязанская область,регион,2002,2550
Смоленская область,регион,2002,2413
Тамбовская область,регион,2002,2445
Тверская область,регион,2002,3041
Тульская область,регион,2002,2079
Ярославская область,регион,2002,2432
Город Москва,регион,2002,61278
Северо-Западный федеральный округ,федеральный_округ,2002,33146
Республика Карелия,регион,2002,744
Республика Коми,регион,2002,2067
Архангельская область,регион,2002,1453
Ненецкий автономный округ,регион,2002,70
Вологодская область,регион,2002,3019
Калининградская область,регион,2002,2212
Ленинградская область,регион,2002,4829
Мурманская область,регион,2002,60
Новгородская область,регион,2002,1389
Псковская область,регион,2002,1318
Город Санкт-Петербург,регион,2002,16055
Южный федеральный округ,федеральный_округ,2002,35278
Республика Адыгея (Адыгея),регион,2002,1653
Республика Калмыкия,регион,2002,683
Краснодарский край,регион,2002,15274
Астраханская область,регион,2002,3069
Волгоградская область,регион,2002,4335
Ростовская область,регион,2002,10264
Северо-Кавказский федеральный округ,федеральный_округ,2002,13536
Республика Дагестан,регион,2002,4230
Республика Ингушетия,регион,2002,164
Кабардино-Балкарская Республика,регион,2002,1684
Карачаево-Черкесская Республика,регион,2002,445
Республика Северная Осетия-Алания,регион,2002,1185
Чеченская Республика,регион,2002,0
Ставропольский край,регион,2002,5828
Приволжский федеральный округ,федеральный_округ,2002,87064
Республика Башкортостан,регион,2002,16612
