цена,комнат,площадь,жилая_площадь,площадь_кухни,этаж,этажность_дома,тип_рынка,отделка,регион,станция_метро,минут_до_метро
6300000.0,1.0,30.6,11.1,8.5,25.0,25,Вторичный рынок,Косметический ремонт,Московская область,Опалиха,6.0
9000000.0,1.0,49.2,20.0,10.0,6.0,15,Вторичный рынок,Евроремонт,Московская область,Павшино,2.0
11090000.0,1.0,44.7,16.2,13.1,10.0,25,Вторичный рынок,Косметический ремонт,Московская область,Мякинино,14.0
8300000.0,1.0,35.1,16.0,11.0,12.0,33,Вторичный рынок,Евроремонт,Московская область,Строгино,8.0
6450000.0,1.0,37.7,15.2,4.0,5.0,5,Вторичный рынок,Без отделки,Московская область,Опалиха,6.0
7150000.0,1.0,38.4,18.0,8.0,8.0,18,Вторичный рынок,Евроремонт,Московская область,Опалиха,6.0
7400000.0,1.0,33.0,16.0,8.0,7.0,7,Вторичный рынок,Евроремонт,Московская область,Нахабино,11.0
7500000.0,1.0,25.0,14.8,8.7,16.0,34,Вторичный рынок,Евроремонт,Московская область,Строгино,27.0
7800000.0,1.0,41.8,18.0,10.0,6.0,17,Вторичный рынок,Косметический ремонт,Московская область,Красногорская,6.0
7999999.0,1.0,44.0,19.0,11.0,11.0,24,Вторичный рынок,Дизайнерский ремонт,Московская область,Тушинская,35.0
9000000.0,1.0,44.8,15.0,10.3,5.0,6,Вторичный рынок,Евроремонт,Московская область,Аникеевка,17.0
12300000.0,1.0,39.0,21.9,9.9,26.0,30,Вторичный рынок,Дизайнерский ремонт,Московская область,Волоколамская,16.0
14000000.0,1.0,48.0,23.0,9.0,12.0,28,Вторичный рынок,Дизайнерский ремонт,Московская область,Волоколамская,12.0
6000000.0,1.0,33.8,17.0,7.0,4.0,9,Вторичный рынок,Без отделки,Московская область,Павшино,3.0
6200000.0,1.0,32.7,18.0,6.0,9.0,9,Вторичный рынок,Евроремонт,Московская область,Красногорская,19.0
6300000.0,1.0,32.1,18.4,9.3,2.0,9,Вторичный рынок,Без отделки,Московская область,Красногорская,19.0
6500000.0,1.0,34.9,17.0,9.0,2.0,14,Вторичный рынок,Косметический ремонт,Московская область,Опалиха,7.0
6800000.0,1.0,38.0,17.4,9.0,8.0,14,Вторичный рынок,Евроремонт,Московская область,Опалиха,7.0
7350000.0,1.0,40.0,16.1,9.8,17.0,24,Вторичный рынок,Евроремонт,Московская область,Опалиха,6.0
8100000.0,1.0,47.6,26.0,12.0,8.0,11,Вторичный рынок,Косметический ремонт,Московская область,Красногорская,6.0
8200000.0,1.0,32.5,18.6,9.3,1.0,8,Вторичный рынок,Дизайнерский ремонт,Московская область,Опалиха,12.0
8600000.0,1.0,36.5,13.0,15.0,23.0,33,Вторичный рынок,Дизайнерский ремонт,Московская область,Строгино,8.0
9200000.0,1.0,33.75,16.5,8.6,3.0,8,Вторичный рынок,Дизайнерский ремонт,Московская область,Опалиха,5.0
9300000.0,1.0,39.1,18.0,11.0,17.0,29,Вторичный рынок,Без отделки,Московская область,Волоколамская,15.0
10099000.0,1.0,38.0,21.3,9.8,6.0,19,Вторичный рынок,Дизайнерский ремонт,Московская область,Мякинино,16.0
11000000.0,1.0,50.8,23.2,11.6,14.0,22,Вторичный рынок,Косметический ремонт,Московская область,Строгино,11.0
14000000.0,1.0,38.1,21.4,9.8,5.0,19,Вторичный рынок,Дизайнерский ремонт,Московская область,Мякинино,16.0
7800000.0,1.0,39.5,16.6,12.0,20.0,26,Вторичный рынок,Евроремонт,Московская область,Опалиха,6.0
7750000.0,1.0,39.5,14.0,14.1,2.0,26,Вторичный рынок,Евроремонт,Московская область,Опалиха,7.0
8300000.0,1.0,44.0,18.0,11.6,10.0,25,Вторичный рынок,Косметический ремонт,Московская область,Опалиха,5.0
8500000.0,1.0,32.1,9.0,18.0,23.0,45,Вторичный рынок,Евроремонт,Московская область,Пенягино,16.0
9400000.0,1.0,42.0,9.0,10.1,4.0,23,Вторичный рынок,Косметический ремонт,Московская область,Пенягино,9.0
9500000.0,1.0,37.7,18.9,7.4,8.0,17,Вторичный рынок,Без отделки,Московская область,Мякинино,20.0
9600000.0,1.0,38.6,21.6,9.8,16.0,17,Вторичный рынок,Косметический ремонт,Московская область,Мякинино,20.0
9700000.0,1.0,42.3,23.5,10.1,7.0,17,Вторичный рынок,Евроремонт,Московская область,Митино,7.0
10300000.0,1.0,38.6,17.0,12.0,16.0,32,Вторичный рынок,Евроремонт,Московская область,Строгино,8.0
11000000.0,1.0,43.0,19.6,5.0,3.0,17,Вторичный рынок,Евроремонт,Московская область,Мякинино,15.0
11680000.0,1.0,36.5,20.6,9.7,5.0,45,Вторичный рынок,Дизайнерский ремонт,Московская область,Пенягино,16.0
11900000.0,1.0,28.0,18.0,7.0,12.0,31,Вторичный рынок,Дизайнерский ремонт,Московская область,Павшино,2.0
4200000.0,1.0,18.3,13.0,2.3,5.0,5,Вторичный рынок,Косметический ремонт,Московская область,Красногорская,36.0
5250000.0,1.0,31.0,18.0,6.0,1.0,4,Вторичный рынок,Косметический ремонт,Московская область,Павшино,6.0
5450000.0,1.0,31.0,18.0,6.0,5.0,5,Вторичный рынок,Косметический ремонт,Московская область,Красногорская,13.0
5700000.0,1.0,45.0,28.0,7.0,1.0,3,Вторичный рынок,Косметический ремонт,Московская область,Опалиха,29.0
5790000.0,1.0,26.6,16.5,5.0,23.0,26,Вторичный рынок,Евроремонт,Московская область,Опалиха,7.0
5800000.0,1.0,32.5,20.0,7.0,7.0,9,Вторичный рынок,Косметический ремонт,Московская область,Павшино,5.0
5800000.0,1.0,28.3,17.0,6.0,3.0,5,Вторичный рынок,Без отделки,Московская область,Павшино,12.0
5840000.0,1.0,23.0,14.5,3.5,4.0,5,Вторичный рынок,Косметический ремонт,Московская область,Павшино,4.0
