регион,уровень,год,объем_млн_кв_м
Российская Федерация,страна,2012,65.7
Центральный федеральный округ,федеральный_округ,2012,18.2
Белгородская область,регион,2012,1.2
Брянская область,регион,2012,0.5
Владимирская область,регион,2012,0.5
Воронежская область,регион,2012,1.1
Ивановская область,регион,2012,0.2
Калужская область,регион,2012,0.6
Костромская область,регион,2012,0.2
Курская область,регион,2012,0.4
Липецкая область,регион,2012,0.8
Московская область,регион,2012,6.7
Орловская область,регион,2012,0.4
Рязанская область,регион,2012,0.5
Смоленская область,регион,2012,0.3
Тамбовская область,регион,2012,0.6
Тверская область,регион,2012,0.4
Тульская область,регион,2012,0.3
Ярославская область,регион,2012,0.5
Город Москва,регион,2012,3.1
Северо-Западный федеральный округ,федеральный_округ,2012,5.8
Республика Карелия,регион,2012,0.2
Республика Коми,регион,2012,0.1
Архангельская область,регион,2012,0.3
Ненецкий автономный округ,регион,2012,0.03
Вологодская область,регион,2012,0.4
Калининградская область,регион,2012,0.6
Ленинградская область,регион,2012,1.2
Мурманская область,регион,2012,0.0
Новгородская область,регион,2012,0.3
Псковская область,регион,2012,0.2
Город Санкт-Петербург,регион,2012,2.6
Южный федеральный округ,федеральный_округ,2012,7.9
Республика Адыгея (Адыгея),регион,2012,0.1
Республика Калмыкия,регион,2012,0.1
Краснодарский край,регион,2012,4.4
Астраханская область,регион,2012,0.5
Волгоградская область,регион,2012,0.9
Ростовская область,регион,2012,2.0
Северо-Кавказский федеральный округ,федеральный_округ,2012,3.8
Республика Дагестан,регион,2012,1.4
Республика Ингушетия,регион,2012,0.1
Кабардино-Балкарская Республика,регион,2012,0.3
Карачаево-Черкесская Республика,регион,2012,0.1
Республика Северная Осетия-Алания,регион,2012,0.2
Чеченская Республика,регион,2012,0.3
Ставропольский край,регион,2012,1.3
Приволжский федеральный округ,федеральный_округ,2012,14.2
Республика Башкортостан,регион,2012,2.3
Республика Марий Эл,регион,2012,0.4
Республика Мордовия,регион,2012,0.3
Республика Татарстан (Татарстан),регион,2012,2.4
Удмуртская Республика,регион,2012,0.5
Чувашская Республика - Чувашия,регион,2012,0.8
Пермский край,регион,2012,0.8
Кировская область,регион,2012,0.4
Нижегородская область,регион,2012,1.5
Оренбургская область,регион,2012,0.7
Пензенская область,регион,2012,0.7
Самарская область,регион,2012,1.5
Саратовская область,регион,2012,1.2
Ульяновская область,регион,2012,0.6
Уральский федеральный округ,федеральный_округ,2012,6.4
Курганская область,регион,2012,0.3
Свердловская область,регион,2012,1.9
Тюменская область,регион,2012,2.6
